fonction,localisation,experience,management,diplome,secteur,salaire_min_k,salaire_moyen_k,salaire_max_k,note,source
Intégrateur web,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"51,12 K€","56,80 K€","71,01 K€",effectif,DataRecrutement
Intégrateur web,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"54,54 K€","60,60 K€","75,75 K€",effectif,DataRecrutement
Intégrateur web,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"63,07 K€","70,08 K€","87,60 K€",effectif,DataRecrutement
Intégrateur web,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"88,66 K€","98,52 K€","123,15 K€",effectif,DataRecrutement
Java engineer,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"41,55 K€","46,17 K€","57,71 K€",effectif,DataRecrutement
Java engineer,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"43,44 K€","48,27 K€","60,34 K€",effectif,DataRecrutement
Java engineer,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"45,33 K€","50,37 K€","62,96 K€",effectif,DataRecrutement
Java engineer,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"47,22 K€","52,46 K€","65,58 K€",effectif,DataRecrutement
Java engineer,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"49,11 K€","54,56 K€","68,20 K€",effectif,DataRecrutement
Java engineer,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"50,99 K€","56,66 K€","70,83 K€",effectif,DataRecrutement
Java engineer,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"56,66 K€","62,96 K€","78,69 K€",effectif,DataRecrutement
Java engineer,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"60,44 K€","67,15 K€","83,94 K€",effectif,DataRecrutement
Java engineer,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"69,88 K€","77,64 K€","97,05 K€",effectif,DataRecrutement
Java engineer,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"98,21 K€","109,12 K€","136,40 K€",effectif,DataRecrutement
Node.js engineer,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"48,05 K€","53,39 K€","66,73 K€",effectif,DataRecrutement
Node.js engineer,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"50,24 K€","55,82 K€","69,78 K€",effectif,DataRecrutement
Node.js engineer,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"52,43 K€","58,26 K€","72,82 K€",effectif,DataRecrutement
Node.js engineer,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"54,62 K€","60,69 K€","75,87 K€",effectif,DataRecrutement
